Geography,MedianRent,MedianHouseholdIncome,TotalPopulation,InflationRates,Year,RentControl,MedianHouseholdIncomeIncreasingRate,MedianRentIncreasingRate
Monterey County,1164,53179,421898,3,2011,4,-0.024846885,0.00605013
Salinas city,1114,44387,152995,3,2011,4,-0.070195651,0.147270855
Napa County,1316,61460,138088,3,2011,4,-0.045666993,0.109612142
Napa city,1330,55719,77868,3,2011,4,0.05148044,0.160558464
Nevada County,1095,54080,98612,3,2011,4,-0.006904657,0.12192623
Orange County,1430,72293,3055745,3,2011,4,0.019935102,0.019971469
Anaheim city,1324,56858,341348,3,2011,4,0.049873516,0.067741935
Buena Park city,1289,64754,81754,3,2011,4,0.057001077,-0.02126044
Costa Mesa city,1446,61136,111603,3,2011,4,-0.038288501,0.034334764
Fullerton city,1260,65648,137174,3,2011,4,0.004406365,-0.055472264
Garden Grove city,1285,55508,173490,3,2011,4,-0.089644767,0.007053292
Huntington Beach city,1461,75336,192868,3,2011,4,0.039561744,0.016701461
Irvine city,1729,87484,215511,3,2011,4,0.021830287,0.014076246
Lake Forest city,1572,100748,78460,3,2011,4,0.099029126,-0.032019704
Mission Viejo city,1867,89727,94714,3,2011,4,-0.033509985,0.067467124
Newport Beach city,1831,96918,86485,3,2011,4,-0.002285361,0.012161415
Orange city,1442,70523,138405,3,2011,4,-0.03106452,0.032211883
Santa Ana city,1198,51264,329405,3,2011,4,-0.003944275,-0.040064103
Tustin city,1407,77827,76699,3,2011,4,0.05329616,0.025510204
Westminster city,1306,52498,91078,3,2011,4,0.052296097,0.124892334
Yorba Linda city,1344,111379,65220,3,2011,4,0.105081954,-0.271149675
Placer County,1180,68959,357138,3,2011,4,0.015835838,0.059245961
Roseville city,1147,75184,121755,3,2011,4,0.075101527,0.014146773
Riverside County,1101,52883,2239620,3,2011,4,-0.026024017,-0.017841213
Corona city,1223,80557,155884,3,2011,4,0.088387489,-0.05632716
Hemet city,876,29679,80459,3,2011,4,-0.064904376,-0.045751634
Indio city,889,41082,77789,3,2011,4,0.130023381,0.038551402
Menifee city,1467,56735,79321,3,2011,4,0.075769355,0.301685892
Moreno Valley city,1166,53018,197838,3,2011,4,0.084057497,-0.078988942
Murrieta city,1776,72496,105847,3,2011,4,0.021617204,0.401736385
Perris city,1169,36229,69973,3,2011,4,-0.199376809,0.053153153
Riverside city,1046,51331,310654,3,2011,4,-0.04672498,-0.032377428
Temecula city,1443,66869,102471,3,2011,4,-0.047368721,0.152555911
Sacramento County,986,52314,1436105,3,2011,4,-0.007493976,0.006122449
Arden-Arcade CDP,828,38881,91977,3,2011,4,-0.062566303,-0.011933174
Citrus Heights city,1008,49983,84342,3,2011,4,-0.005906921,0.058823529
Elk Grove city,1424,73250,154920,3,2011,4,-0.030956476,0.036390102
Folsom city,1245,87349,72991,3,2011,4,-0.066983551,0.005654281
Sacramento city,954,47908,472169,3,2011,4,0.025186707,-0.007284079
San Bernardino County,1056,51247,2065377,3,2011,4,-0.025852073,0.020289855
Apple Valley town,980,51258,70173,3,2011,4,0.108281081,-0.031620553
Chino city,1222,59749,79061,3,2011,4,-0.157776775,0.058925477
Chino Hills city,1742,93736,75931,3,2011,4,-0.063567069,0.01574344
Fontana city,1073,64202,199024,3,2011,4,0.095990031,0.032723773
Hesperia city,983,42298,91549,3,2011,4,-0.008276477,0.04685836
Ontario city,1105,49713,166412,3,2011,4,-0.075347816,-0.116706635
Rancho Cucamonga city,1285,70836,167698,3,2011,4,-0.075730689,-0.057917889
Redlands city,1062,66577,69744,3,2011,4,-0.072201009,0.000942507
Rialto city,987,45415,100680,3,2011,4,-0.029967107,-0.072368421
San Bernardino city,904,35118,213008,3,2011,4,-0.091149068,0.034324943
Upland city,1109,59780,74854,3,2011,4,-0.027920061,0.024953789
Victorville city,1092,45847,117596,3,2011,4,-0.119376897,0.126934985
San Diego County,1237,59477,3140069,3,2011,4,-0.007442885,-0.009607686
Carlsbad city,1543,77677,106895,3,2011,4,0.007522991,0.007838014
Chula Vista city,1192,59585,247514,3,2011,4,-0.100549467,-0.05621536
El Cajon city,1014,43540,100931,3,2011,4,0.002417405,-0.005882353
Escondido city,1113,43661,146021,3,2011,4,0.012969236,-0.038029386
Oceanside city,1392,55620,169565,3,2011,4,-0.108967992,0.028064993
San Diego city,1277,60797,1326183,3,2011,3,0.01265886,0.013492063
San Marcos city,1193,44339,85009,3,2011,4,-0.07515331,-0.080185042
Vista city,1156,41599,95211,3,2011,4,-0.096322204,-0.065481002
San Francisco County,1407,69894,812826,3,2011,4,-0.025799707,0.015884477
San Francisco city,1407,69894,812826,3,2011,1,-0.025799707,0.015884477
San Joaquin County,964,50853,696214,3,2011,4,0.016836296,-0.031155779
Manteca city,1181,53037,68254,3,2011,4,-0.070862969,0.045132743
Stockton city,905,44310,296367,3,2011,4,-0.028417314,-0.024784483
Tracy city,1251,67105,84252,3,2011,4,-0.05344599,-0.027216174
San Luis Obispo County,1206,54195,271969,3,2011,4,0.004020156,0.060686016
San Mateo County,1549,81657,727209,3,2011,4,-0.013184609,0.07049067
Daly City city,1413,66922,102368,3,2011,4,-0.074474117,-0.014644351
Redwood City city,1459,77561,77750,3,2011,4,0.014293561,0.119723715
San Mateo city,1528,80248,98403,3,2011,4,-0.022260128,0.004602235
Santa Barbara County,1265,60505,426878,3,2011,4,0.065848116,-0.001578532
Santa Barbara city,1413,60599,89058,3,2011,4,-0.0105478,0.036683786
Santa Maria city,1098,50532,100272,3,2011,4,-0.017842566,-0.015246637
Santa Clara County,1462,84895,1809378,3,2011,4,-0.001258794,0.031029619
Milpitas city,1626,87371,67811,3,2011,4,-0.05440594,0.030418251
Mountain View city,1488,86460,75230,3,2011,4,-0.049817019,0.048625793
San Jose city,1385,76593,967478,3,2011,3,-0.002617392,0.010211524
Santa Clara city,1547,87015,118247,3,2011,4,0.069427033,0.070588235
Sunnyvale city,1467,93836,142299,3,2011,4,-0.018267038,0.05387931
Santa Cruz County,1358,62513,264298,3,2011,4,0.023611862,0.057632399
Shasta County,877,42062,177774,3,2011,4,0.025327255,-0.009039548
Redding city,908,40475,90142,3,2011,4,-0.006529049,0.044879171
Solano County,1188,63795,416471,3,2011,4,0.006484286,-0.010824313
Fairfield city,1241,64059,106116,3,2011,4,0.039868188,0.0625
Vacaville city,1208,71743,93076,3,2011,4,0.000515996,-0.12716763
Vallejo city,1124,51988,116829,3,2011,4,-0.075094736,0.026484018
Sonoma County,1189,61020,488116,3,2011,4,0.033274067,-0.012458472
Santa Rosa city,1199,60730,169302,3,2011,4,0.110928182,0.016963528
Stanislaus County,939,44076,518522,3,2011,4,-0.082590958,-0.039877301
Modesto city,934,41863,202761,3,2011,4,-0.127545172,-0.066933067
Turlock city,945,49283,69095,3,2011,4,-0.080626807,0.033916849
Sutter County,837,49533,94919,3,2011,4,0.064744954,0.058154235
Tulare County,762,41167,449253,3,2011,4,-0.051386041,-0.045112782
Visalia city,910,52194,126421,3,2011,4,0.014184673,0.021324355
Ventura County,1382,74623,831771,3,2011,4,0.038391963,0.000724113
Camarillo city,1665,78669,65904,3,2011,4,0.089703988,0.104111406
Oxnard city,1248,58090,199917,3,2011,4,-0.052612695,0.021276596
San Buenaventura (Ventura) city,1306,62971,107507,3,2011,4,0.037037647,0.023510972
Simi Valley city,1650,88654,125546,3,2011,4,0.049072858,0.054987212
Thousand Oaks city,1655,96943,127994,3,2011,3,0.017443142,-0.122015915
Yolo County,987,49594,202054,3,2011,4,-0.111186781,-0.065340909
Davis city,1216,55702,66011,3,2011,4,-0.052219632,-0.007346939
Yuba County,770,43961,72578,3,2011,4,-0.03920883,-0.045848823
Walnut Creek city,1290,86613,65232,3,2011,4,NA,NA
Florence-Graham CDP,976,37477,68626,3,2011,4,NA,NA
Rancho Cordova city,896,48452,65614,3,2011,4,NA,NA
Palo Alto city,1844,119124,65419,3,2011,4,NA,NA
Yuba City city,797,48452,65041,3,2011,4,NA,NA
Jurupa Valley city,NA,NA,NA,3,2011,4,NA,NA
South San Francisco city,NA,NA,NA,3,2011,4,NA,NA
South Whittier CDP,NA,NA,NA,3,2011,4,NA,NA
San Clemente city,NA,NA,NA,3,2011,4,NA,NA
Carmichael CDP,NA,NA,NA,3,2011,4,NA,NA
Laguna Niguel city,NA,NA,NA,3,2011,4,NA,NA
Castro Valley CDP,NA,NA,NA,3,2011,4,NA,NA
Madera city,NA,NA,NA,3,2011,4,NA,NA
Lake Elsinore city,NA,NA,NA,3,2011,4,NA,NA
Lodi city,NA,NA,NA,3,2011,4,NA,NA
Santa Cruz city,NA,NA,NA,3,2011,4,NA,NA
Rocklin city,NA,NA,NA,3,2011,4,NA,NA
Tehama County,NA,NA,NA,3,2011,4,NA,NA
Tulare city,NA,NA,NA,3,2011,4,NA,NA
California,1200,58328,38041430,1.7,2012,4,0.018171662,0.022146508
Alameda County,1265,70500,1554720,1.7,2012,4,0.043547766,0.016881029
Berkeley city,1238,65887,115417,1.7,2012,1,0.073935225,0.032527106
Fremont city,1613,100574,222001,1.7,2012,4,0.085467595,0.055628272
Hayward city,1246,60586,149398,1.7,2012,2,0.07551658,0.016313214
Livermore city,1411,100222,83541,1.7,2012,4,0.032716107,-0.005637773
Oakland city,1075,48196,400740,1.7,2012,1,-0.045623762,0.02478551
Pleasanton city,1617,112665,72326,1.7,2012,4,-0.064531664,-0.009797918
San Leandro city,1237,62179,86884,1.7,2012,4,0.024315108,0.010620915
Union City city,1447,85040,71749,1.7,2012,4,0.164867678,0.030626781
Butte County,891,40960,221539,1.7,2012,4,0.045458026,0.07738815
Chico city,918,39087,87712,1.7,2012,4,0.086051681,0.074941452
Contra Costa County,1344,74177,1079597,1.7,2012,4,-0.002367087,0.050820954
Antioch city,1221,59971,105495,1.7,2012,4,-0.095309931,-0.079879427
Concord city,1275,64164,124717,1.7,2012,4,0.062476197,0.09348199
Pittsburg city,1269,51950,65655,1.7,2012,4,-0.041070605,-0.018561485
Richmond city,1119,51765,106526,1.7,2012,4,0.002187718,-0.01061008
San Ramon city,1752,122357,73922,1.7,2012,4,0.004936102,0.058610272
El Dorado County,1093,69973,180561,1.7,2012,4,0.145520922,0.100704935
Fresno County,858,41627,947895,1.7,2012,4,-0.027565585,0.001166861
Clovis city,1052,59627,98626,1.7,2012,4,-0.036253435,0.095833333
Fresno city,869,38386,505870,1.7,2012,4,-0.052969186,0.003464203
Humboldt County,847,40682,134827,1.7,2012,4,-0.01226115,-0.033105023
Imperial County,726,40200,176948,1.7,2012,4,0.062283646,0.018232819
Kern County,872,45910,856158,1.7,2012,4,0.015168937,0.039332539
Bakersfield city,991,53693,358600,1.7,2012,4,0.03921265,0.058760684
Kings County,795,45935,151364,1.7,2012,4,-0.08759559,-0.13209607
Lake County,799,33219,63983,1.7,2012,4,-0.077019255,-0.154497354
Los Angeles County,1175,53001,9962789,1.7,2012,4,0.013791125,0.01205857
Alameda city,1309,74860,75632,1.7,2012,4,0.120977524,0.028279654
Alhambra city,1137,57464,84322,1.7,2012,4,0.079480773,-0.001755926
Baldwin Park city,1086,50972,76437,1.7,2012,4,0.026336985,-0.05810928
Bellflower city,1155,47785,77334,1.7,2012,4,0.132104527,0.027580071
Burbank city,1323,66844,104380,1.7,2012,4,0.042044055,0.036833856
Carson city,1183,68752,92992,1.7,2012,4,-0.035235676,-0.072156863
Compton city,1006,41060,97560,1.7,2012,4,0.046541265,-0.019493177
Downey city,1206,60676,112878,1.7,2012,4,0.14048344,0.050522648
East Los Angeles CDP,962,35171,126918,1.7,2012,4,0.032770518,0.017989418
El Monte city,1039,40902,115113,1.7,2012,4,0.209080966,0.002895753
Glendale city,1259,51897,194501,1.7,2012,3,0.089197641,0.049166667
Hawthorne city,978,38339,85682,1.7,2012,4,-0.102614517,-0.002040816
Inglewood city,1078,41649,111174,1.7,2012,4,0.096055159,0.033557047
Lakewood city,1343,74748,80835,1.7,2012,4,0.073811234,-0.073793103
Lancaster city,946,46380,159041,1.7,2012,4,-0.017331243,-0.054
Long Beach city,1070,47837,467888,1.7,2012,4,-0.065939001,0.005639098
Los Angeles city,1148,46803,3857786,1.7,2012,1,0.014193465,0.011453744
Lynwood city,984,41864,70720,1.7,2012,4,-0.000262687,-0.028627838
Norwalk city,1203,59476,106286,1.7,2012,4,0.093087795,-0.021155411
Palmdale city,1111,48169,155660,1.7,2012,4,-0.044152082,-0.020282187
Pasadena city,1287,65423,138553,1.7,2012,4,-0.094679305,-0.005409583
Pomona city,1057,46300,150817,1.7,2012,4,-0.019670118,-0.057932264
